category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.0667,0.0000,+0.0667,OK,home_pitcher_q=avg: today=6.7% baseline=0.0% shift=+6.7%
categorical,home_pitcher_q=live,0.8000,0.6413,+0.1587,LOW,home_pitcher_q=live: today=80.0% baseline=64.1% shift=+15.9%
categorical,home_pitcher_q=ltd,0.0000,0.2609,-0.2609,MEDIUM,home_pitcher_q=ltd: today=0.0% baseline=26.1% shift=-26.1%
categorical,home_pitcher_q=sm,0.1333,0.0978,+0.0355,OK,home_pitcher_q=sm: today=13.3% baseline=9.8% shift=+3.6%
categorical,away_pitcher_q=avg,0.0667,0.0109,+0.0558,OK,away_pitcher_q=avg: today=6.7% baseline=1.1% shift=+5.6%
categorical,away_pitcher_q=live,0.6667,0.7065,-0.0399,OK,away_pitcher_q=live: today=66.7% baseline=70.7% shift=-4.0%
categorical,away_pitcher_q=ltd,0.2000,0.1848,+0.0152,OK,away_pitcher_q=ltd: today=20.0% baseline=18.5% shift=+1.5%
categorical,away_pitcher_q=sm,0.0667,0.0978,-0.0312,OK,away_pitcher_q=sm: today=6.7% baseline=9.8% shift=-3.1%
categorical,home_top3c_source=lineup,1.0000,0.9891,+0.0109,OK,home_top3c_source=lineup: today=100.0% baseline=98.9% shift=+1.1%
categorical,home_top3c_source=team_fallback,0.0000,0.0109,-0.0109,OK,home_top3c_source=team_fallback: today=0.0% baseline=1.1% shift=-1.1%
categorical,away_top3c_source=lineup,1.0000,0.9891,+0.0109,OK,away_top3c_source=lineup: today=100.0% baseline=98.9% shift=+1.1%
categorical,away_top3c_source=team_fallback,0.0000,0.0109,-0.0109,OK,away_top3c_source=team_fallback: today=0.0% baseline=1.1% shift=-1.1%
numeric_mean,home_xera_mean,3.8473,4.0149,z=-0.16,OK,home_xera mean 3.847 vs baseline 4.015 (z=-0.16)
numeric_mean,away_xera_mean,4.0209,3.9938,z=+0.04,OK,away_xera mean 4.021 vs baseline 3.994 (z=+0.04)
numeric_mean,home_whiff_pct_rank_mean,57.6667,54.0543,z=+0.13,OK,home_whiff_pct_rank mean 57.667 vs baseline 54.054 (z=+0.13)
numeric_mean,away_whiff_pct_rank_mean,48.0667,47.6413,z=+0.02,OK,away_whiff_pct_rank mean 48.067 vs baseline 47.641 (z=+0.02)
numeric_mean,home_top3c_obp_mean,0.3520,0.3507,z=+0.05,OK,home_top3c_obp mean 0.352 vs baseline 0.351 (z=+0.05)
numeric_mean,away_top3c_obp_mean,0.3479,0.3461,z=+0.08,OK,away_top3c_obp mean 0.348 vs baseline 0.346 (z=+0.08)
numeric_mean,home_top3c_iso_mean,0.1913,0.1794,z=+0.29,OK,home_top3c_iso mean 0.191 vs baseline 0.179 (z=+0.29)
numeric_mean,away_top3c_iso_mean,0.1779,0.1772,z=+0.01,OK,away_top3c_iso mean 0.178 vs baseline 0.177 (z=+0.01)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.7000,0.7034,z=-0.01,OK,home_p_last5_pitcher_nrfi mean 0.700 vs baseline 0.703 (z=-0.01)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.6733,0.7230,z=-0.23,OK,away_p_last5_pitcher_nrfi mean 0.673 vs baseline 0.723 (z=-0.23)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7400,0.7004,z=+0.22,OK,home_p_last10_pitcher_nrfi mean 0.740 vs baseline 0.700 (z=+0.22)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.6533,0.7144,z=-0.35,OK,away_p_last10_pitcher_nrfi mean 0.653 vs baseline 0.714 (z=-0.35)
pick_cluster,max_cluster_size,5,-,-,HIGH,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
