category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=avg,0.0000,0.0306,-0.0306,OK,home_pitcher_q=avg: today=0.0% baseline=3.1% shift=-3.1%
categorical,home_pitcher_q=live,0.7333,0.3163,+0.4170,HIGH,home_pitcher_q=live: today=73.3% baseline=31.6% shift=+41.7%
categorical,home_pitcher_q=ltd,0.1333,0.5408,-0.4075,HIGH,home_pitcher_q=ltd: today=13.3% baseline=54.1% shift=-40.7%
categorical,home_pitcher_q=sm,0.1333,0.1122,+0.0211,OK,home_pitcher_q=sm: today=13.3% baseline=11.2% shift=+2.1%
categorical,away_pitcher_q=avg,0.0000,0.0306,-0.0306,OK,away_pitcher_q=avg: today=0.0% baseline=3.1% shift=-3.1%
categorical,away_pitcher_q=live,0.6667,0.2551,+0.4116,HIGH,away_pitcher_q=live: today=66.7% baseline=25.5% shift=+41.2%
categorical,away_pitcher_q=ltd,0.2000,0.5510,-0.3510,HIGH,away_pitcher_q=ltd: today=20.0% baseline=55.1% shift=-35.1%
categorical,away_pitcher_q=sm,0.1333,0.1633,-0.0299,OK,away_pitcher_q=sm: today=13.3% baseline=16.3% shift=-3.0%
categorical,home_top3c_source=_empty_,0.0000,0.1531,-0.1531,OK,home_top3c_source=_empty_: today=0.0% baseline=15.3% shift=-15.3%
categorical,home_top3c_source=lineup,1.0000,0.8163,+0.1837,OK,home_top3c_source=lineup: today=100.0% baseline=81.6% shift=+18.4%
categorical,home_top3c_source=team_fallback,0.0000,0.0306,-0.0306,OK,home_top3c_source=team_fallback: today=0.0% baseline=3.1% shift=-3.1%
categorical,away_top3c_source=_empty_,0.0000,0.1531,-0.1531,OK,away_top3c_source=_empty_: today=0.0% baseline=15.3% shift=-15.3%
categorical,away_top3c_source=lineup,1.0000,0.8061,+0.1939,OK,away_top3c_source=lineup: today=100.0% baseline=80.6% shift=+19.4%
categorical,away_top3c_source=team_fallback,0.0000,0.0408,-0.0408,OK,away_top3c_source=team_fallback: today=0.0% baseline=4.1% shift=-4.1%
numeric_mean,home_xera_mean,3.9240,4.1858,z=-0.25,OK,home_xera mean 3.924 vs baseline 4.186 (z=-0.25)
numeric_mean,away_xera_mean,3.6553,4.3264,z=-0.44,OK,away_xera mean 3.655 vs baseline 4.326 (z=-0.44)
numeric_mean,home_whiff_pct_rank_mean,47.8667,43.8776,z=+0.17,OK,home_whiff_pct_rank mean 47.867 vs baseline 43.878 (z=+0.17)
numeric_mean,away_whiff_pct_rank_mean,59.6667,51.2449,z=+0.32,OK,away_whiff_pct_rank mean 59.667 vs baseline 51.245 (z=+0.32)
numeric_mean,home_top3c_obp_mean,0.3546,0.3464,z=+0.32,OK,home_top3c_obp mean 0.355 vs baseline 0.346 (z=+0.32)
numeric_mean,away_top3c_obp_mean,0.3499,0.3470,z=+0.11,OK,away_top3c_obp mean 0.350 vs baseline 0.347 (z=+0.11)
numeric_mean,home_top3c_iso_mean,0.1945,0.1796,z=+0.31,OK,home_top3c_iso mean 0.194 vs baseline 0.180 (z=+0.31)
numeric_mean,away_top3c_iso_mean,0.1905,0.1781,z=+0.31,OK,away_top3c_iso mean 0.191 vs baseline 0.178 (z=+0.31)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.6667,0.7070,z=-0.18,OK,home_p_last5_pitcher_nrfi mean 0.667 vs baseline 0.707 (z=-0.18)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.6300,0.6981,z=-0.31,OK,away_p_last5_pitcher_nrfi mean 0.630 vs baseline 0.698 (z=-0.31)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7089,0.7131,z=-0.02,OK,home_p_last10_pitcher_nrfi mean 0.709 vs baseline 0.713 (z=-0.02)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.6667,0.6803,z=-0.09,OK,away_p_last10_pitcher_nrfi mean 0.667 vs baseline 0.680 (z=-0.09)
pick_cluster,max_cluster_size,6,-,-,HIGH,largest cluster of picks within 0.005 calibrated P(NRFI): 6 (>=4 = HIGH; >=3 = MEDIUM)
