date,matchup,v2_pick,v2_p,v2_oc,v2_pl,t42_pick,t42_p,t42_oc,t42_pl,agree,h_xera_raw,h_xera_pri,a_xera_raw,a_xera_pri,actual_side
2026-05-01,LAD@STL,YRFI,0.4043,WIN,0.952,PASS,0.4669,PASS,0.0,N,5.77,5.0,3.95,2.97,YRFI
2026-05-01,ATL@COL,YRFI,0.4043,WIN,0.667,YRFI,0.4043,WIN,0.667,Y,5.31,5.07,4.12,4.79,YRFI
2026-05-01,PHI@MIA,YRFI,0.4043,WIN,1.0,NRFI,0.5934,LOSS,-1.0,N,5.1,3.51,4.2,1.95,YRFI
