category,metric,today,baseline,delta,severity,note
categorical,home_pitcher_q=live,0.9091,0.7835,+0.1256,LOW,home_pitcher_q=live: today=90.9% baseline=78.4% shift=+12.6%
categorical,home_pitcher_q=ltd,0.0909,0.1546,-0.0637,OK,home_pitcher_q=ltd: today=9.1% baseline=15.5% shift=-6.4%
categorical,home_pitcher_q=sm,0.0000,0.0619,-0.0619,OK,home_pitcher_q=sm: today=0.0% baseline=6.2% shift=-6.2%
categorical,away_pitcher_q=avg,0.0000,0.0103,-0.0103,OK,away_pitcher_q=avg: today=0.0% baseline=1.0% shift=-1.0%
categorical,away_pitcher_q=live,0.7273,0.7320,-0.0047,OK,away_pitcher_q=live: today=72.7% baseline=73.2% shift=-0.5%
categorical,away_pitcher_q=ltd,0.0909,0.1649,-0.0740,OK,away_pitcher_q=ltd: today=9.1% baseline=16.5% shift=-7.4%
categorical,away_pitcher_q=sm,0.1818,0.0928,+0.0890,OK,away_pitcher_q=sm: today=18.2% baseline=9.3% shift=+8.9%
categorical,home_top3c_source=lineup,1.0000,0.8454,+0.1546,OK,home_top3c_source=lineup: today=100.0% baseline=84.5% shift=+15.5%
categorical,home_top3c_source=team_fallback,0.0000,0.1546,-0.1546,OK,home_top3c_source=team_fallback: today=0.0% baseline=15.5% shift=-15.5%
categorical,away_top3c_source=lineup,1.0000,0.8454,+0.1546,OK,away_top3c_source=lineup: today=100.0% baseline=84.5% shift=+15.5%
categorical,away_top3c_source=team_fallback,0.0000,0.1546,-0.1546,OK,away_top3c_source=team_fallback: today=0.0% baseline=15.5% shift=-15.5%
numeric_mean,home_xera_mean,3.7316,3.9380,z=-0.20,OK,home_xera mean 3.732 vs baseline 3.938 (z=-0.20)
numeric_mean,away_xera_mean,4.0625,4.1688,z=-0.15,OK,away_xera mean 4.062 vs baseline 4.169 (z=-0.15)
numeric_mean,home_whiff_pct_rank_mean,62.7273,56.5979,z=+0.25,OK,home_whiff_pct_rank mean 62.727 vs baseline 56.598 (z=+0.25)
numeric_mean,away_whiff_pct_rank_mean,54.4545,51.6804,z=+0.14,OK,away_whiff_pct_rank mean 54.455 vs baseline 51.680 (z=+0.14)
numeric_extreme,away_whiff_pct_rank_extreme,3,4,-1,MEDIUM,"away_whiff_pct_rank has 3/11 extreme values (outside [5.0, 95.0]); max=100.00"
numeric_mean,home_top3c_obp_mean,0.3440,0.3387,z=+0.30,OK,home_top3c_obp mean 0.344 vs baseline 0.339 (z=+0.30)
numeric_mean,away_top3c_obp_mean,0.3418,0.3386,z=+0.21,OK,away_top3c_obp mean 0.342 vs baseline 0.339 (z=+0.21)
numeric_mean,home_top3c_iso_mean,0.1806,0.1840,z=-0.12,OK,home_top3c_iso mean 0.181 vs baseline 0.184 (z=-0.12)
numeric_mean,away_top3c_iso_mean,0.1736,0.1763,z=-0.09,OK,away_top3c_iso mean 0.174 vs baseline 0.176 (z=-0.09)
numeric_mean,home_p_last5_pitcher_nrfi_mean,0.6909,0.6976,z=-0.03,OK,home_p_last5_pitcher_nrfi mean 0.691 vs baseline 0.698 (z=-0.03)
numeric_mean,away_p_last5_pitcher_nrfi_mean,0.6273,0.7402,z=-0.51,OK,away_p_last5_pitcher_nrfi mean 0.627 vs baseline 0.740 (z=-0.51)
numeric_mean,home_p_last10_pitcher_nrfi_mean,0.7545,0.7182,z=+0.25,OK,home_p_last10_pitcher_nrfi mean 0.755 vs baseline 0.718 (z=+0.25)
numeric_mean,away_p_last10_pitcher_nrfi_mean,0.7000,0.7358,z=-0.18,OK,away_p_last10_pitcher_nrfi mean 0.700 vs baseline 0.736 (z=-0.18)
numeric_mean,away_top3_ops_vs_oppHand_mean,0.8002,0.7791,z=+0.38,OK,away_top3_ops_vs_oppHand mean 0.800 vs baseline 0.779 (z=+0.38)
numeric_mean,home_top3_ops_vs_oppHand_mean,0.7886,0.7837,z=+0.07,OK,home_top3_ops_vs_oppHand mean 0.789 vs baseline 0.784 (z=+0.07)
default_rate,away_top3_ops_vs_oppHand_default_rate,0.0000,0.7200,0/11,OK,away_top3_ops_vs_oppHand defaulted to 0.72 in 0/11 rows (0%); heavy defaulting = predict pipeline failed
default_rate,home_top3_ops_vs_oppHand_default_rate,0.0909,0.7200,1/11,OK,home_top3_ops_vs_oppHand defaulted to 0.72 in 1/11 rows (9%); heavy defaulting = predict pipeline failed
pick_cluster,max_cluster_size,4,-,-,MEDIUM,largest cluster of picks within 0.005 calibrated P(NRFI): 4 (>=4 = MEDIUM; informational -- not predictive of pick quality)
