date,severity,metric,note
2026-05-14,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 2/11 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-15,MEDIUM,home_pitcher_q=live,home_pitcher_q=live: today=80.0% baseline=57.6% shift=+22.4%
2026-05-15,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-15,MEDIUM,home_pitcher_q=live,home_pitcher_q=live: today=80.0% baseline=57.6% shift=+22.4%
2026-05-15,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-17,MEDIUM,home_pitcher_q=ltd,home_pitcher_q=ltd: today=0.0% baseline=26.1% shift=-26.1%
2026-05-17,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-18,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-18,MEDIUM,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 3 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-19,MEDIUM,away_pitcher_q=ltd,away_pitcher_q=ltd: today=40.0% baseline=13.0% shift=+27.0%
2026-05-19,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 4/15 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-19,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 9 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-19,MEDIUM,away_pitcher_q=ltd,away_pitcher_q=ltd: today=40.0% baseline=13.0% shift=+27.0%
2026-05-19,MEDIUM,away_whiff_pct_rank_extreme,"away_whiff_pct_rank has 4/15 extreme values (outside [5.0, 95.0]); max=100.00"
2026-05-19,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 9 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-20,HIGH,home_pitcher_q=live,home_pitcher_q=live: today=93.3% baseline=63.0% shift=+30.3%
2026-05-20,MEDIUM,home_pitcher_q=ltd,home_pitcher_q=ltd: today=0.0% baseline=26.0% shift=-26.0%
2026-05-20,MEDIUM,home_whiff_pct_rank_extreme,"home_whiff_pct_rank has 3/15 extreme values (outside [5.0, 95.0]); max=76.00"
2026-05-20,HIGH,pick_cluster,largest cluster of picks within 0.005 calibrated P(NRFI): 5 (>=4 = HIGH; >=3 = MEDIUM)
2026-05-20,HIGH,home_pitcher_q=live,home_pitcher_q=live: today=93.3% baseline=63.0% shift=+30.3%
2026-05-20,MEDIUM,home_pitcher_q=ltd,home_pitcher_q=ltd: today=0.0% baseline=26.0% shift=-26.0%
