date,game_pk,source_file,side,csv_name,api_name,api_pitcher_id,reason
2024-08-06,745713,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Luis Gil,Will Warren,701542,name mismatch (likely starter swap / DH g2)
2024-08-09,745708,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Carlos Rodón,Gerrit Cole,543037,name mismatch (likely starter swap / DH g2)
2024-09-21,746906,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Pablo López,Zebby Matthews,805673,name mismatch (likely starter swap / DH g2)
2024-09-25,747064,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,David Peterson,Joey Lucchesi,664192,name mismatch (likely starter swap / DH g2)
2024-09-25,747064,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Chris Sale,Grant Holmes,656550,name mismatch (likely starter swap / DH g2)
2024-09-26,747139,backtest_2024-04-01_to_2024-09-30_truepit.csv,away,Sean Manaea,Tylor Megill,656731,name mismatch (likely starter swap / DH g2)
2024-09-26,747139,backtest_2024-04-01_to_2024-09-30_truepit.csv,home,Max Fried,Spencer Schwellenbach,680885,name mismatch (likely starter swap / DH g2)
2025-04-05,778443,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Richard Fitts,Sean Newcomb,656794,name mismatch (likely starter swap / DH g2)
2025-04-06,778431,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Sandy Alcantara,Ryan Gusto,687473,name mismatch (likely starter swap / DH g2)
2025-04-06,778431,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Grant Holmes,Hurston Waldrep,694462,name mismatch (likely starter swap / DH g2)
2025-04-11,778372,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Bowden Francis,Easton Lucas,687922,name mismatch (likely starter swap / DH g2)
2025-04-11,778372,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Tomoyuki Sugano,Charlie Morton,450203,name mismatch (likely starter swap / DH g2)
2025-04-18,778266,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,MacKenzie Gore,Brad Lord,695418,name mismatch (likely starter swap / DH g2)
2025-04-18,778266,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Chase Dollander,Antonio Senzatela,622608,name mismatch (likely starter swap / DH g2)
2025-04-23,778195,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Germán Márquez,Chase Dollander,801403,name mismatch (likely starter swap / DH g2)
2025-04-25,778180,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Brandon Young,Keegan Akin,669211,name mismatch (likely starter swap / DH g2)
2025-04-25,778180,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Casey Mize,Keider Montero,672456,name mismatch (likely starter swap / DH g2)
2025-04-26,778170,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Kevin Gausman,Chris Bassitt,605135,name mismatch (likely starter swap / DH g2)
2025-04-26,778170,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Max Fried,Clarke Schmidt,657376,name mismatch (likely starter swap / DH g2)
2025-05-03,778068,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Erick Fedde,Andre Pallante,669467,name mismatch (likely starter swap / DH g2)
2025-05-05,778046,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Luis Ortiz,Ben Lively,594902,name mismatch (likely starter swap / DH g2)
2025-05-05,778046,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Jake Irvin,Brad Lord,695418,name mismatch (likely starter swap / DH g2)
2025-05-06,778029,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Jackson Jobe,Keider Montero,672456,name mismatch (likely starter swap / DH g2)
2025-05-06,778029,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Chase Dollander,Tanner Gordon,685299,name mismatch (likely starter swap / DH g2)
2025-05-13,777938,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Cade Povich,Chayce McDermott,694646,name mismatch (likely starter swap / DH g2)
2025-05-13,777933,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Jesús Luzardo,Aaron Nola,605400,name mismatch (likely starter swap / DH g2)
2025-05-20,777839,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Gavin Williams,Slade Cecconi,677944,name mismatch (likely starter swap / DH g2)
2025-05-20,777839,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Chris Paddack,Joe Ryan,657746,name mismatch (likely starter swap / DH g2)
2025-05-21,777825,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,AJ Smith-Shawver,José Suarez,660761,name mismatch (likely starter swap / DH g2)
2025-05-21,777825,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Trevor Williams,Jake Irvin,663623,name mismatch (likely starter swap / DH g2)
2025-05-22,777815,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Lucas Giolito,Brayan Bello,678394,name mismatch (likely starter swap / DH g2)
2025-05-28,777735,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Zack Wheeler,Cristopher Sánchez,650911,name mismatch (likely starter swap / DH g2)
2025-06-18,777464,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Andrew Heaney,Paul Skenes,694973,name mismatch (likely starter swap / DH g2)
2025-06-18,777464,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Tarik Skubal,Tyler Holton,663947,name mismatch (likely starter swap / DH g2)
2025-06-18,777458,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Sonny Gray,Michael McGreevy,700241,name mismatch (likely starter swap / DH g2)
2025-06-18,777458,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Sean Burke,Mike Vasil,678024,name mismatch (likely starter swap / DH g2)
2025-06-18,777459,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Jacob Misiorowski,Freddy Peralta,642547,name mismatch (likely starter swap / DH g2)
2025-06-18,777459,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Jameson Taillon,Cade Horton,690990,name mismatch (likely starter swap / DH g2)
2025-07-01,777290,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Nick Pivetta,Dylan Cease,656302,name mismatch (likely starter swap / DH g2)
2025-07-01,777284,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,Jack Flaherty,Tyler Holton,663947,name mismatch (likely starter swap / DH g2)
2025-07-09,777181,backtest_2025-04-01_to_2025-09-30_truepit.csv,away,David Peterson,Brandon Waddell,663399,name mismatch (likely starter swap / DH g2)
2025-07-10,777164,backtest_2025-04-01_to_2025-09-30_truepit.csv,home,Jonathan Cannon,Shane Smith,681343,name mismatch (likely starter swap / DH g2)
