rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAD,COL,1.2674,YRFI,STRONG,STRONG YRFI,37.4,62.6
2,HOU,CLE,1.0551,PASS,NO EDGE,PASS,51.1,48.9
3,DET,BOS,1.0454,PASS,NO EDGE,PASS,47.7,52.3
4,ATL,WSH,1.0191,NRFI,LEAN,LEAN NRFI,56.2,43.8
5,PHI,CHC,0.9864,NRFI,LEAN,LEAN NRFI,55.3,44.7
6,OAK,SEA,0.9301,NRFI,STRONG,STRONG NRFI,61.4,38.6
7,STL,MIA,0.8812,YRFI,LEAN,LEAN YRFI,44.9,55.1
8,BAL,KC,0.8638,NRFI,LEAN,LEAN NRFI,53.9,46.1
9,TOR,LAA,0.8183,PASS,NO EDGE,PASS,50.7,49.3
10,CIN,TB,0.8038,PASS,NO EDGE,PASS,47.7,52.3
