rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,PHI,COL,1.1970,YRFI,STRONG,STRONG YRFI,39.7,60.3
2,ATL,ARI,1.1539,YRFI,LEAN,LEAN YRFI,45.7,54.3
3,LAD,WSH,1.1195,PASS,NO EDGE,PASS,51.7,48.3
4,CIN,TEX,1.0305,NRFI,STRONG,STRONG NRFI,65.4,34.6
5,HOU,OAK,1.0026,YRFI,LEAN,LEAN YRFI,45.4,54.6
6,MIA,NYY,0.9970,NRFI,LEAN,LEAN NRFI,56.6,43.4
7,TB,MIN,0.9413,PASS,NO EDGE,PASS,49.1,50.9
8,MIL,KC,0.9214,NRFI,LEAN,LEAN NRFI,54.0,46.0
9,SD,BOS,0.9058,PASS,NO EDGE,PASS,47.7,52.3
10,CHC,CLE,0.8745,NRFI,LEAN,LEAN NRFI,56.4,43.6
11,BAL,PIT,0.8639,PASS,NO EDGE,PASS,50.4,49.6
12,STL,DET,0.8622,PASS,NO EDGE,PASS,49.4,50.6
13,TOR,CWS,0.7695,NRFI,LEAN,LEAN NRFI,56.2,43.8
14,NYM,SF,0.7643,PASS,NO EDGE,PASS,52.2,47.8
15,SEA,LAA,0.7639,PASS,NO EDGE,PASS,50.7,49.3
