rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,NYY,HOU,1.1808,NRFI,LEAN,LEAN NRFI,55.9,44.1,824202,1,N,2:10 PM ET
2,MIN,TB,1.0489,PASS,NO EDGE,PASS,50.7,49.3,822991,1,N,1:40 PM ET
3,OAK,TEX,1.0474,NRFI,LEAN,LEAN NRFI,55.2,44.8,822911,1,N,2:35 PM ET
4,BOS,BAL,1.0319,PASS,NO EDGE,PASS,47.8,52.2,824852,1,N,1:35 PM ET
5,CLE,TOR,1.0062,PASS,NO EDGE,PASS,47.4,52.6,822824,1,N,1:37 PM ET
6,COL,NYM,0.9772,NRFI,LEAN,LEAN NRFI,58.6,41.4,823637,2,Y,1:45 PM ET
7,DET,CIN,0.9384,PASS,NO EDGE,PASS,47.4,52.6,824528,1,N,1:40 PM ET
8,WSH,CWS,0.9240,PASS,NO EDGE,PASS,47.7,52.3,824612,1,N,2:10 PM ET
9,PHI,ATL,0.9156,NRFI,LEAN,LEAN NRFI,55.1,44.9,824934,1,N,1:35 PM ET
10,SD,ARI,0.9086,YRFI,LEAN,LEAN YRFI,44.1,55.9,825094,1,N,4:05 PM ET
11,SEA,STL,0.8868,PASS,NO EDGE,PASS,47.6,52.4,823068,1,N,2:15 PM ET
12,COL,NYM,0.8619,NRFI,LEAN,LEAN NRFI,58.5,41.5,823635,1,Y,1:40 PM ET
13,PIT,MIL,0.8596,PASS,NO EDGE,PASS,50.7,49.3,823797,1,N,2:10 PM ET
14,CHC,LAD,0.8323,YRFI,LEAN,LEAN YRFI,40.0,60.0,823959,1,N,4:10 PM ET
15,MIA,SF,0.7999,PASS,NO EDGE,PASS,47.8,52.2,823230,1,N,4:05 PM ET
16,LAA,KC,0.7991,PASS,NO EDGE,PASS,47.4,52.6,824122,1,N,4:10 PM ET
