rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,TB,OAK,1.1277,YRFI,STRONG,STRONG YRFI,41.7,58.3,824969,1,N,9:40 PM ET
2,BOS,TOR,1.0982,NRFI,LEAN,LEAN NRFI,50.2,49.8,822780,1,N,7:07 PM ET
3,PHI,STL,1.0780,PASS,NO EDGE,PASS,45.6,54.4,823018,1,N,7:45 PM ET
4,NYM,ATL,1.0031,NRFI,LEAN,LEAN NRFI,50.1,49.9,824887,1,N,7:15 PM ET
5,BAL,MIN,0.9756,PASS,NO EDGE,PASS,49.6,50.3,823675,1,N,7:40 PM ET
6,TEX,LAA,0.9280,PASS,NO EDGE,PASS,46.2,53.8,823998,1,N,9:38 PM ET
7,COL,ARI,0.8873,YRFI,LEAN,LEAN YRFI,44.5,55.5,825048,1,N,9:40 PM ET
8,HOU,SF,0.8944,PASS,NO EDGE,PASS,49.7,50.3,823189,1,N,9:45 PM ET
9,KC,LAD,0.8011,PASS,NO EDGE,PASS,49.7,50.3,823918,1,N,10:10 PM ET
10,MIL,SD,0.7849,NRFI,LEAN,LEAN NRFI,51.9,48.1,823265,1,N,9:40 PM ET
