date,game_pk,field,before,after,source,healed_at
2026-09-04,824554,yrfi_prob,0.5907,0.6224,sizing_prob (T8.35 stamp),2026-09-06T00:07:31Z
2026-09-04,824554,nrfi_prob,0.4093,0.3776,sizing_prob (T8.35 stamp),2026-09-06T00:07:31Z
