date,game_pk,away,home,away_pitcher,home_pitcher,away_pitcher_q,home_pitcher_q,away_batting_q,home_batting_q,park_factor,away_lambda,home_lambda,lambda_total,nrfi_prob,yrfi_prob,over_1_5_prob,pick_side,pick_strength,data_points,nrfi_prob_raw,yrfi_prob_raw,pick_side_raw,pick_strength_raw,away_era,home_era,away_whip,home_whip,away_fip,home_fip,away_bb9,home_bb9,away_hr9,home_hr9,away_k9,home_k9,away_obp,home_obp,away_slg,home_slg,away_rpg,home_rpg,away_fi_era,home_fi_era,away_fi_whip,home_fi_whip,away_fi_ip,home_fi_ip,away_top3_obp,home_top3_obp,away_top3_slg,home_top3_slg,away_top3_iso,home_top3_iso,away_top3_n,home_top3_n,away_top3c_obp,home_top3c_obp,away_top3c_slg,home_top3c_slg,away_top3c_iso,home_top3c_iso,away_top3c_n,home_top3c_n,away_top3c_source,home_top3c_source,away_p_last5_game_nrfi,home_p_last5_game_nrfi,away_p_last5_pitcher_nrfi,home_p_last5_pitcher_nrfi,away_p_last5_n,home_p_last5_n,away_p_last10_game_nrfi,home_p_last10_game_nrfi,away_p_last10_pitcher_nrfi,home_p_last10_pitcher_nrfi,away_p_last10_n,home_p_last10_n,fi_park_nrfi_rate,wx_temp_c,wx_wind_kmh,wx_wind_deg,wx_humidity,wx_is_dome,wx_wind_out,wx_wind_cross,away_era_blend,home_era_blend,away_fip_blend,home_fip_blend,away_hr9_blend,home_hr9_blend,away_bb9_blend,home_bb9_blend,away_k9_blend,home_k9_blend,away_whip_blend,home_whip_blend,away_blend_source,home_blend_source,away_current_ip,home_current_ip,away_current_starts,home_current_starts,fi_away_runs,fi_home_runs,fi_total_runs,actual_side,graded_result,home_p_last10_era,away_p_last10_era
2023-04-01,718751,MIN,KC,Sonny Gray,Jordan Lyles,ltd,ltd,live,live,0.9600,0.4505,0.3806,0.8311,0.4356,0.5644,0.2024,PASS,NO EDGE,4,0.4356,0.5644,PASS,NO EDGE,3.3600,4.3650,1.1600,1.3550,3.4820,4.2381,2.7886,2.7109,0.9229,1.2804,8.8504,7.6552,0.3171,0.3070,0.4021,0.3829,4.3093,3.9929,,,,,,,0.3347,0.2996,0.4461,0.4282,0.1932,0.1856,3,3,0.3347,0.2996,0.4461,0.4282,0.1932,0.1856,0,0,prior,prior,0.4000,0.4000,0.8000,0.8000,5,5,0.7000,0.5000,0.9000,0.8000,10,10,0.5376,12.1000,10.0000,296,38,0,3.5837,9.3358,3.3600,4.3650,3.4820,4.2381,0.9229,1.2804,2.7886,2.7109,8.8504,7.6552,1.1600,1.3550,prior,prior,0,0,0,0,1,0,1,YRFI,PASS,4.472,2.487
2023-04-01,718755,NYM,MIA,Tylor Megill,Edward Cabrera,ltd,ltd,live,live,0.9500,0.4734,0.4003,0.8737,0.4174,0.5826,0.2179,PASS,NO EDGE,4,0.4174,0.5826,PASS,NO EDGE,4.5650,3.4939,1.2500,1.1432,4.0016,4.2057,2.7975,3.6950,1.2540,1.2380,9.2317,9.2443,0.3308,0.2960,0.4122,0.3673,4.7387,3.6879,,,,,,,0.3614,0.3443,0.4452,0.4139,0.1567,0.1403,3,3,0.3614,0.3443,0.4452,0.4139,0.1567,0.1403,0,0,prior,prior,0.6000,0.4000,0.8000,0.8000,5,5,0.5556,0.6000,0.8889,0.8000,9,10,0.4425,,,,,1,0.0000,0.0000,4.5650,3.4939,4.0016,4.2057,1.2540,1.2380,2.7975,3.6950,9.2317,9.2443,1.2500,1.1432,prior,prior,0,0,0,0,0,0,0,NRFI,PASS,3.176,5.008
2023-04-01,718750,COL,SD,José Ureña,Michael Wacha,ltd,ltd,live,live,0.9500,0.4053,0.5200,0.9253,0.3964,0.6036,0.2368,YRFI,LEAN,4,0.3964,0.6036,YRFI,LEAN,4.8142,3.5400,1.4900,1.1525,4.5121,4.0772,3.7640,2.3963,1.0710,1.2559,6.6409,7.7482,0.3153,0.3180,0.3994,0.3847,4.3206,4.3602,,,,,,,0.3359,0.3553,0.4152,0.4492,0.1319,0.2030,3,3,0.3000,0.3553,0.3000,0.4492,0.0000,0.2030,1,0,current,prior,0.6000,0.6000,0.6000,0.8000,5,5,0.6000,0.5000,0.6000,0.7000,10,10,0.5189,15.8000,17.5000,284,78,0,-4.8237,16.8221,4.8142,3.5400,4.5121,4.0772,1.0710,1.2559,3.7640,2.3963,6.6409,7.7482,1.4900,1.1525,prior,prior,0,0,0,0,0,2,2,YRFI,WIN,4.105,5.331
2023-04-01,718749,ARI,LAD,Madison Bumgarner,Clayton Kershaw,ltd,ltd,live,live,0.9700,0.3095,0.5620,0.8715,0.4183,0.5817,0.2171,PASS,NO EDGE,4,0.4183,0.5817,PASS,NO EDGE,4.7100,2.7600,1.3925,1.0175,4.5507,2.9289,2.8407,1.9812,1.3667,0.8353,7.0038,9.5585,0.3052,0.3317,0.3875,0.4396,4.3432,5.1624,,,,,,,0.3255,0.3666,0.3981,0.4598,0.1404,0.1689,3,3,0.3255,0.3666,0.3981,0.4598,0.1404,0.1689,0,0,prior,prior,0.2000,0.8000,0.6000,1.0000,5,5,0.3000,0.6000,0.7000,0.8000,10,10,0.4720,17.4000,16.6000,240,54,0,13.0810,10.2200,4.7100,2.7600,4.5507,2.9289,1.3667,0.8353,2.8407,1.9812,7.0038,9.5585,1.3925,1.0175,prior,prior,0,0,0,0,0,5,5,YRFI,PASS,2.470,7.123
2023-04-01,718746,CLE,SEA,Aaron Civale,Logan Gilbert,ltd,ltd,live,live,0.9500,0.3768,0.4112,0.7880,0.4548,0.5452,0.1869,NRFI,LEAN,4,0.4548,0.5452,NRFI,LEAN,4.7400,3.4500,1.2050,1.1975,3.7771,3.5613,2.2809,2.5359,1.2742,0.9925,9.0446,8.5668,0.3162,0.3153,0.3856,0.3920,4.3206,4.2754,,,,,,,0.3463,0.3406,0.4391,0.4593,0.1524,0.1885,3,3,0.3000,0.3406,0.3000,0.4593,0.0000,0.1885,1,0,current,prior,0.8000,0.4000,0.8000,0.8000,5,5,0.7000,0.4000,0.8000,0.8000,10,10,0.6001,,,,,1,0.0000,0.0000,4.7400,3.4500,3.7771,3.5613,1.2742,0.9925,2.2809,2.5359,9.0446,8.5668,1.2050,1.1975,prior,prior,0,0,0,0,0,0,0,NRFI,WIN,3.453,3.000
2023-04-02,718742,DET,TB,Joey Wentz,Jeffrey Springs,ltd,ltd,live,live,0.9300,0.3012,0.4153,0.7165,0.4885,0.5115,0.1616,NRFI,STRONG,4,0.4885,0.5115,NRFI,STRONG,3.8861,2.8950,1.2098,1.1150,3.9965,3.3028,3.1700,2.2989,1.0280,0.9995,8.5368,9.4197,0.2887,0.3098,0.3518,0.3801,3.5240,4.1398,,,,,,,0.2961,0.3682,0.3729,0.4104,0.1283,0.1286,3,3,0.2961,0.3682,0.3729,0.4104,0.1283,0.1286,0,0,prior,prior,0.8000,0.4000,1.0000,1.0000,5,5,0.5714,0.5000,0.8571,0.9000,7,10,0.5016,,,,,1,0.0000,0.0000,3.8861,2.8950,3.9965,3.3028,1.0280,0.9995,3.1700,2.2989,8.5368,9.4197,1.2098,1.1150,prior,prior,0,0,0,0,0,0,0,NRFI,WIN,2.294,3.031
2023-04-02,718748,BAL,BOS,Cole Irvin,Tanner Houck,ltd,ltd,live,live,1.0500,0.4203,0.4786,0.8989,0.4070,0.5930,0.2271,YRFI,LEAN,4,0.4070,0.5930,YRFI,LEAN,4.0350,3.6750,1.1825,1.2150,4.1084,3.5917,2.0925,3.1500,1.2323,0.8250,6.9985,8.6500,0.3061,0.3207,0.3920,0.4094,4.1850,4.5297,,,,,,,0.3296,0.3583,0.4325,0.4848,0.1820,0.1951,3,3,0.5000,0.5000,0.7143,0.7000,0.2381,0.2000,2,1,current,current,0.4000,0.7500,0.4000,1.0000,5,4,0.3000,0.7500,0.3000,1.0000,10,4,0.4923,4.1000,14.7000,324,34,0,-2.2996,14.5190,4.0350,3.6750,4.1084,3.5917,1.2323,0.8250,2.0925,3.1500,6.9985,8.6500,1.1825,1.2150,prior,prior,0,0,0,0,0,1,1,YRFI,WIN,4.320,6.243
2023-04-02,718743,ATL,WSH,Jared Shuster,MacKenzie Gore,avg,ltd,live,live,0.9700,0.5031,0.4349,0.9380,0.3914,0.6086,0.2414,YRFI,LEAN,3,0.3914,0.6086,YRFI,LEAN,4.2000,4.3750,1.2500,1.3783,4.2000,4.0417,3.0000,4.0250,1.2000,1.0250,8.9000,9.1083,0.3171,0.3107,0.4405,0.3801,4.8347,3.7839,,,,,,,0.3408,0.3028,0.4779,0.4187,0.2188,0.1706,3,3,0.2727,0.3028,0.5455,0.4187,0.2727,0.1706,1,0,current,prior,,0.6000,,0.6000,0,5,,0.5000,,0.7000,0,10,0.5416,10.2000,4.8000,312,52,0,-0.7509,4.7409,4.2000,4.3750,4.2000,4.0417,1.2000,1.0250,3.0000,4.0250,8.9000,9.1083,1.2500,1.3783,prior,prior,0,0,0,0,0,4,4,YRFI,WIN,5.040,
2023-04-02,718747,SF,NYY,Ross Stripling,Jhony Brito,ltd,avg,live,live,1.0200,0.4643,0.3996,0.8639,0.4215,0.5785,0.2143,PASS,NO EDGE,3,0.4215,0.5785,PASS,NO EDGE,3.3075,4.2000,1.0775,1.2500,3.3414,4.2000,1.7567,3.0000,0.9040,1.2000,7.8122,8.9000,0.3153,0.3244,0.3911,0.4250,4.4223,4.9364,,,,,,,0.3257,0.3625,0.3941,0.5454,0.1623,0.2786,2,3,0.3257,0.3625,0.3941,0.5454,0.1623,0.2786,0,0,prior,prior,0.4000,,1.0000,,5,0,0.6000,,1.0000,,10,0,0.5203,7.5000,8.4000,320,39,0,3.6823,7.5499,3.3075,4.2000,3.3414,4.2000,0.9040,1.2000,1.7567,3.0000,7.8122,8.9000,1.0775,1.2500,prior,prior,0,0,0,0,0,0,0,NRFI,PASS,,2.893
2023-04-02,718744,PIT,CIN,Vince Velasquez,Graham Ashcraft,ltd,ltd,live,live,1.0900,0.4404,0.5003,0.9407,0.3904,0.6096,0.2424,YRFI,LEAN,4,0.3904,0.6096,YRFI,LEAN,4.5630,4.7175,1.2375,1.3775,4.1783,4.0250,2.9975,2.6786,1.2740,1.0071,8.5051,6.7893,0.2933,0.3052,0.3682,0.3756,3.7161,4.0381,,,,,,,0.3223,0.3279,0.4298,0.4173,0.1840,0.1681,3,3,0.3223,0.3279,0.4298,0.4173,0.1840,0.1681,0,0,prior,prior,0.2000,0.6000,0.4000,1.0000,5,5,0.2222,0.5000,0.4444,0.9000,9,10,0.5303,12.9000,8.5000,168,47,0,1.4760,-8.3709,4.5630,4.7175,4.1783,4.0250,1.2740,1.0071,2.9975,2.6786,8.5051,6.7893,1.2375,1.3775,prior,prior,0,0,0,0,0,0,0,NRFI,LOSS,5.367,5.263
