rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAA,CIN,1.1601,NRFI,LEAN,LEAN NRFI,57.9,42.1
2,MIN,TOR,1.0604,PASS,NO EDGE,PASS,50.6,49.4
3,COL,SD,1.0319,PASS,NO EDGE,PASS,52.2,47.8
4,WSH,MIL,1.0237,NRFI,STRONG,STRONG NRFI,61.9,38.1
5,NYY,TB,1.0162,PASS,NO EDGE,PASS,49.4,50.6
6,CLE,ATL,1.0147,PASS,NO EDGE,PASS,47.4,52.6
7,HOU,SEA,0.9691,NRFI,STRONG,STRONG NRFI,61.4,38.6
8,BOS,STL,0.9594,NRFI,STRONG,STRONG NRFI,60.2,39.8
9,MIA,DET,0.9440,PASS,NO EDGE,PASS,48.0,52.0
10,SF,BAL,0.9313,PASS,NO EDGE,PASS,52.4,47.6
11,TEX,LAD,0.8988,PASS,NO EDGE,PASS,49.9,50.1
12,OAK,NYM,0.8912,NRFI,LEAN,LEAN NRFI,53.7,46.3
13,PIT,CHC,0.8462,NRFI,LEAN,LEAN NRFI,57.2,42.8
14,ARI,PHI,0.8123,NRFI,LEAN,LEAN NRFI,55.4,44.6
15,CWS,KC,0.7845,NRFI,LEAN,LEAN NRFI,56.5,43.5
