rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,ARI,MIL,1.1558,PASS,NO EDGE,PASS,51.2,48.8,823796,1,N,7:40 PM ET
2,COL,CIN,1.1431,YRFI,STRONG,STRONG YRFI,36.2,63.8,824525,1,N,6:40 PM ET
3,BOS,TOR,1.1321,YRFI,STRONG,STRONG YRFI,40.8,59.2,822821,1,N,3:07 PM ET
4,HOU,BAL,1.0792,YRFI,STRONG,STRONG YRFI,41.0,59.0,824850,1,N,6:35 PM ET
5,CHC,SD,1.0606,PASS,NO EDGE,PASS,46.9,53.1,823312,1,N,4:10 PM ET
6,STL,PIT,1.0397,YRFI,STRONG,STRONG YRFI,39.9,60.1,823392,1,N,6:40 PM ET
7,LAA,CWS,1.0309,PASS,NO EDGE,PASS,43.4,56.6,824608,1,N,1:10 PM ET
8,NYY,TEX,0.9608,PASS,NO EDGE,PASS,46.9,53.1,822907,1,N,2:35 PM ET
9,WSH,NYM,0.8420,PASS,NO EDGE,PASS,44.9,55.1,823633,1,N,7:10 PM ET
10,MIA,LAD,0.8399,NRFI,STRONG,STRONG NRFI,64.1,35.9,823958,1,N,3:10 PM ET
11,KC,OAK,0.8276,YRFI,STRONG,STRONG YRFI,39.5,60.5,825015,1,N,9:40 PM ET
12,TB,CLE,0.8213,NRFI,STRONG,STRONG NRFI,64.1,35.9,824445,1,N,1:10 PM ET
13,SEA,MIN,0.8209,NRFI,STRONG,STRONG NRFI,58.1,41.9,823717,1,N,1:40 PM ET
14,DET,ATL,0.7635,NRFI,STRONG,STRONG NRFI,59.9,40.1,824930,1,N,7:15 PM ET
15,SF,PHI,0.6835,PASS,NO EDGE,PASS,44.9,55.1,823471,1,N,6:10 PM ET
