game_pk,home_K20_all,home_K40_all,home_K65_all,home_K100_all,home_K65_pw0,home_K65_pw6,home_K65_hl15,home_K65_hl30,home_K65_win20,home_shipped_like,away_K20_all,away_K40_all,away_K65_all,away_K100_all,away_K65_pw0,away_K65_pw6,away_K65_hl15,away_K65_hl30,away_K65_win20,away_shipped_like
744795,0.7576358822444308,0.7473830307638237,0.7414327151724,0.7373024961148235,0.7414327151724,0.7414327151724,0.7366964501998392,0.7384970364913145,0.7414327151724,0.7,0.7569255676170419,0.7475491875407239,0.7418221372100181,0.7377154230704389,0.7418221372100181,0.7418221372100181,0.7355685468352833,0.7382633145970635,0.7444746832291952,0.7
744796,0.7310550883095038,0.7300786975850054,0.7294363352662564,0.7289520929028919,0.7294363352662564,0.7294363352662564,0.7209539780014895,0.7243621367222988,0.7211347276505219,0.6,0.7663827431729631,0.7551523018978316,0.7478345941520677,0.7423548223052399,0.7478345941520677,0.7478345941520677,0.736614196966543,0.7413692826907153,0.7446641394152278,0.7
744797,0.7442065123597787,0.7380684870895358,0.7348224160331572,0.7326909251271104,0.7348224160331572,0.7348224160331572,0.7340653717131134,0.7345231744570232,0.7348224160331572,0.8,0.7679736646193933,0.7556558433191599,0.7479572050065141,0.7423525963149078,0.7479572050065141,0.7479572050065141,0.7438066154530091,0.7452791962447236,0.7331311582421913,0.8
744798,0.7165413808203182,0.7195383217418656,0.7215284778225807,0.72303856571894,0.7215284778225807,0.7215284778225807,0.7263042528333715,0.7243595409128759,0.7207851043643264,0.8,0.7753649102320829,0.7617918428686261,0.7527784778225807,0.7459393290777186,0.7527784778225807,0.7527784778225807,0.7414408733857343,0.7459640452747215,0.7443145161290322,0.8
744799,0.7950392891238892,0.7759719364878409,0.763310022627965,0.753702433027418,0.763310022627965,0.763310022627965,0.7472784079226936,0.7534925783012214,0.7444442608504076,0.8,0.810940074906367,0.7870572498662387,0.7713448649714173,0.7595001440507059,0.7713448649714173,0.7713448649714173,0.7552153451317393,0.7616184058516152,0.7444442608504076,0.9
744800,0.7427760109041345,0.7362355229281746,0.7325465281856361,0.7300304445920075,0.7325465281856361,0.7325465281856361,0.7273840613667324,0.7294228336344766,0.7325465281856361,0.6,0.7968300649581885,0.7713232422264202,0.7569367720880752,0.7471244616860246,0.7569367720880752,0.7569367720880752,0.7485243952867594,0.7523145090113014,0.7569367720880752,0.9
744801,0.7853204840878529,0.767556629574052,0.7559817775637298,0.7473140976862324,0.7559817775637298,0.7559817775637298,0.7395101516783068,0.7460192331723995,0.730144554011654,0.7,0.6992281488121919,0.7102534986802131,0.7151755298712941,0.7181287485859426,0.7151755298712941,0.7151755298712941,0.7140574157181996,0.7145915958450615,0.7151755298712941,0.6
744802,0.7195525447189097,0.7217212396031667,0.7231203975930097,0.7241610213479557,0.7231203975930097,0.7231203975930097,0.7240741680540081,0.723823789199338,0.7205905526605872,0.7,0.7707704429301533,0.7582434899002191,0.750002073433157,0.7437893133272179,0.750002073433157,0.750002073433157,0.7410204302876372,0.7449103148636541,0.7323552585429401,0.8
744803,0.7392491162755715,0.734822281800807,0.7319662595590233,0.7298420930166967,0.7319662595590233,0.7319662595590233,0.7238262630158688,0.7271910621194692,0.730268966341049,0.6,0.7161319193742479,0.7193583032490974,0.7209714951865223,0.7219980718739744,0.7209714951865223,0.7209714951865223,0.7200785160074058,0.7205086033976845,0.7209714951865223,0.7
744804,0.7185151706458525,0.720256711500027,0.7213802862446559,0.7222159449609734,0.7213802862446559,0.7213802862446559,0.7270521233756372,0.7245233214694884,0.7304513720088587,0.8,0.7838347316136572,0.7652727559687788,0.7538018721432921,0.7455132335081016,0.7538018721432921,0.7538018721432921,0.7497095271891134,0.7521458253160642,0.7657454896559176,0.9
744805,0.7061048989868951,0.7115401622241567,0.7149745318520969,0.717493069579253,0.7149745318520969,0.7149745318520969,0.7141705969702778,0.7147533067612055,0.7183844988063626,0.6,0.658219334245326,0.689563112066532,0.7024280955006091,0.7098443800684889,0.7024280955006091,0.7024280955006091,0.7029018555066252,0.7026676320811609,0.7024280955006091,0.0
744806,0.7163975327850634,0.719421607579462,0.7212904178456635,0.7226407839734995,0.7212904178456635,0.7212904178456635,0.7211097181726062,0.7214520279984511,0.7317040845678124,0.7,0.7408596577017115,0.7342885085574571,0.7313549598323437,0.7295948305972756,0.7313549598323437,0.7313549598323437,0.7309570427684227,0.7311426439387607,0.7313549598323437,0.8
744807,0.7811820966250579,0.7646100187647874,0.7539183556291292,0.7459664311719834,0.7539183556291292,0.7539183556291292,0.7373747997005622,0.7439879626186009,0.7307577302765766,0.7,0.8294713781364268,0.7967731449375867,0.7765663716124608,0.7619653483065635,0.7765663716124608,0.7765663716124608,0.7546196670736642,0.7640813526313734,0.7660518479236355,0.8
744808,0.7210439003187483,0.722796022623609,0.7237386200660971,0.724363711001642,0.7237386200660971,0.7237386200660971,0.7173277203863883,0.7200963677042616,0.7237386200660971,0.6,0.7162611957008509,0.71923414408867,0.7210713593845133,0.7223988955982839,0.7210713593845133,0.7210713593845133,0.7176725681895106,0.7190851510248457,0.7079453057084903,0.6
744809,0.7722309139843767,0.7582612740388281,0.749434303743564,0.7429611921937035,0.749434303743564,0.749434303743564,0.7324039244523097,0.7394212393135224,0.7317473134195802,0.7,0.6852743922452462,0.6976552134327675,0.7054782597875201,0.7112151604476717,0.7054782597875201,0.7054782597875201,0.7103264194305783,0.7078184686003288,0.6964531957725214,0.7
744810,0.7070986788135226,0.7129254310733953,0.7166071701386996,0.7193071121199225,0.7166071701386996,0.7166071701386996,0.7215121003926107,0.7192471807635128,0.7201323821484901,0.8,0.7894786494538232,0.7700473607822168,0.7579028053624629,0.7490615690168819,0.7579028053624629,0.7579028053624629,0.7471151486498151,0.7515166641429976,0.7436617939131959,0.9
744811,0.7446974306964165,0.7388118271181152,0.7351333248816769,0.7324553752535498,0.7351333248816769,0.7351333248816769,0.727878363685002,0.7309624252234662,0.7430823439923637,0.6,0.7584317542367337,0.7455444855426958,0.7389736742019858,0.7347470442044479,0.7389736742019858,0.7389736742019858,0.7409018876983836,0.7401446426264771,0.7389736742019858,0.9
744812,0.7269646006550768,0.7268552654036525,0.7267892872346896,0.7267423453898865,0.7267892872346896,0.7267892872346896,0.7274715475304506,0.7274210137446397,0.7321255057578587,0.7,0.6743274318274318,0.6970657925005751,0.7074741970340562,0.713797793750624,0.7074741970340562,0.7074741970340562,0.7073035354015332,0.7073693085605048,0.7074741970340562,0.5
744813,0.7327533222591363,0.7304251700680272,0.7290031452922079,0.7279834494773519,0.7290031452922079,0.7290031452922079,0.7298824783802882,0.7297450440527617,0.7429679621848739,0.8,0.7224087301587302,0.7233351648351649,0.7239141865079366,0.7243357142857143,0.7239141865079366,0.7239141865079366,0.721228787197186,0.7222528324393136,0.719438550420168,0.6
744814,0.7353575,0.7319784615384616,0.7302231168831168,0.7290821428571429,0.7302231168831168,0.7302231168831168,0.7232380209341648,0.7264210953048,0.7302231168831168,0.7,0.6317009523809524,0.6623045161290323,0.680772183908046,0.6939114754098361,0.680772183908046,0.680772183908046,0.6999668620372073,0.6918407062311641,0.6967903529411764,0.7
744815,0.7393993080410404,0.7354240485564305,0.7329674275266154,0.7311923207179747,0.7329674275266154,0.7329674275266154,0.7253008014247159,0.7286305358756751,0.7321658947043383,0.6,0.8031062686931576,0.7788434778985961,0.7640238755666906,0.753397136333568,0.7640238755666906,0.7640238755666906,0.7519771734247,0.7573876807687623,0.7674600123513973,0.8
744816,0.7799478065539113,0.763103354978355,0.7528148405216942,0.7454372228381374,0.7528148405216942,0.7528148405216942,0.7371510420469004,0.7438055070835833,0.7440906584224598,0.7,0.660807076446281,0.6922740800865801,0.7051896412822252,0.7126350824420676,0.7051896412822252,0.7051896412822252,0.7056652638417957,0.7054301195836986,0.7051896412822252,0.0
