rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct,game_pk,game_number,double_header,game_time_et
1,OAK,BAL,1.1175,YRFI,STRONG,STRONG YRFI,40.8,59.2,824845,1,N,1:35 PM ET
2,HOU,CIN,1.0329,YRFI,STRONG,STRONG YRFI,39.8,60.2,824520,1,N,1:40 PM ET
3,PIT,SF,0.9366,PASS,NO EDGE,PASS,48.0,52.0,823221,1,N,4:05 PM ET
4,STL,SD,0.9698,PASS,NO EDGE,PASS,46.6,53.4,823305,1,N,4:10 PM ET
5,CHC,TEX,0.9941,NRFI,STRONG,STRONG NRFI,64.5,35.5,822902,1,N,2:35 PM ET
6,NYY,MIL,0.9124,NRFI,STRONG,STRONG NRFI,63.1,36.9,823793,1,N,2:10 PM ET
7,NYM,ARI,0.8954,PASS,NO EDGE,PASS,48.0,52.0,825085,1,N,4:10 PM ET
8,MIN,CLE,0.9101,PASS,NO EDGE,PASS,48.0,52.0,824440,1,N,1:40 PM ET
9,COL,PHI,0.8661,PASS,NO EDGE,PASS,46.6,53.4,823463,1,N,1:35 PM ET
10,WSH,MIA,0.8914,PASS,NO EDGE,PASS,46.7,53.3,823868,1,N,12:15 PM ET
11,LAA,TOR,0.8910,PASS,NO EDGE,PASS,48.0,52.0,822819,1,N,1:37 PM ET
12,ATL,LAD,0.8356,PASS,NO EDGE,PASS,46.7,53.3,823954,1,N,4:10 PM ET
13,DET,KC,0.8308,PASS,NO EDGE,PASS,48.0,52.0,824113,1,N,7:20 PM ET
14,TB,BOS,0.8349,NRFI,STRONG,STRONG NRFI,58.2,41.8,824765,1,N,1:35 PM ET
15,SEA,CWS,0.7798,PASS,NO EDGE,PASS,45.9,54.1,824605,1,N,2:10 PM ET
