captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,-135
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,williamhill_us,Caesars,totals_1st_5_innings,4.5,Under,105
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betmgm,BetMGM,totals_1st_5_innings,5.0,Over,-102
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betmgm,BetMGM,totals_1st_5_innings,5.0,Under,-125
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,-115
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-110
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betus,BetUS,totals_1st_5_innings,4.5,Over,-130
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betus,BetUS,totals_1st_5_innings,4.5,Under,100
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,-130
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TB,BAL,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,-103
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,106
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-136
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,106
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-138
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,108
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-143
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betonlineag,BetOnline.ag,totals_1st_5_innings,4.0,Over,-120
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betonlineag,BetOnline.ag,totals_1st_5_innings,4.0,Under,100
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Over,-120
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,mybookieag,MyBookie.ag,totals_1st_5_innings,4.0,Under,-102
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,bovada,Bovada,totals_1st_5_innings,4.5,Over,100
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,bovada,Bovada,totals_1st_5_innings,4.5,Under,-130
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,110
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-140
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,williamhill_us,Caesars,totals_1st_5_innings,4.0,Over,-130
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,williamhill_us,Caesars,totals_1st_5_innings,4.0,Under,100
2026-08-23T15:58:11+00:00,2026-08-23T17:36:00Z,TOR,NYY,betmgm,BetMGM,totals_1st_5_innings,4.0,Over,-125
