captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-106
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,-114
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-114
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-115
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,-102
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-118
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Over,-106
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,100
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,williamhill_us,Caesars,totals_1st_5_innings,4.5,Under,-130
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,bovada,Bovada,totals_1st_5_innings,4.5,Over,-115
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,bovada,Bovada,totals_1st_5_innings,4.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betmgm,BetMGM,totals_1st_5_innings,4.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betmgm,BetMGM,totals_1st_5_innings,4.5,Under,-118
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,-105
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betus,BetUS,totals_1st_5_innings,4.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betus,BetUS,totals_1st_5_innings,4.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betrivers,BetRivers,totals_1st_1_innings,1.5,Over,225
2026-09-08T19:42:15Z,2026-09-08T22:36:00Z,CLE,BAL,betrivers,BetRivers,totals_1st_1_innings,1.5,Under,-335
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-113
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-113
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,-108
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-106
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,-105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Over,-104
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Under,-118
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,100
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-130
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,-105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,williamhill_us,Caesars,totals_1st_5_innings,4.5,Under,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,bovada,Bovada,totals_1st_5_innings,4.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,bovada,Bovada,totals_1st_5_innings,4.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betmgm,BetMGM,totals_1st_5_innings,4.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betmgm,BetMGM,totals_1st_5_innings,4.5,Under,-118
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,-105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betus,BetUS,totals_1st_5_innings,4.5,Over,-115
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betus,BetUS,totals_1st_5_innings,4.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,-109
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,MIN,DET,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,-122
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-130
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,102
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-108
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-106
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Over,-116
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,mybookieag,MyBookie.ag,totals_1st_5_innings,4.5,Under,-105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betmgm,BetMGM,totals_1st_5_innings,4.5,Over,-118
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betmgm,BetMGM,totals_1st_5_innings,4.5,Under,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-102
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,williamhill_us,Caesars,totals_1st_5_innings,4.5,Under,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,bovada,Bovada,totals_1st_5_innings,4.5,Over,-120
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,bovada,Bovada,totals_1st_5_innings,4.5,Under,-110
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betus,BetUS,totals_1st_5_innings,4.5,Over,-115
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betus,BetUS,totals_1st_5_innings,4.5,Under,-115
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betrivers,BetRivers,totals_1st_1_innings,0.5,Over,-124
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,HOU,PHI,betrivers,BetRivers,totals_1st_1_innings,0.5,Under,-108
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-113
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-113
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,100
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-130
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-106
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-125
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,105
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,-135
2026-09-08T19:42:15Z,2026-09-08T22:41:00Z,NYM,MIA,williamhill_us,Caesars,totals_1st_5_innings,4.5,Over,110
