captured_at_utc,commence_time,away_team,home_team,book_key,book,market,point,outcome,price
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,-142
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,112
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,fanduel,FanDuel,totals_1st_5_innings,5.5,Over,108
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,fanduel,FanDuel,totals_1st_5_innings,5.5,Under,-140
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,-120
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-110
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betonlineag,BetOnline.ag,totals_1st_5_innings,5.0,Over,-117
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betonlineag,BetOnline.ag,totals_1st_5_innings,5.0,Under,-103
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,mybookieag,MyBookie.ag,totals_1st_5_innings,5.0,Over,-110
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,mybookieag,MyBookie.ag,totals_1st_5_innings,5.0,Under,-111
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,williamhill_us,Caesars,totals_1st_1_innings,0.5,Over,-135
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,williamhill_us,Caesars,totals_1st_1_innings,0.5,Under,105
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,williamhill_us,Caesars,totals_1st_5_innings,5.0,Over,-125
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,williamhill_us,Caesars,totals_1st_5_innings,5.0,Under,-105
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betmgm,BetMGM,totals_1st_5_innings,5.0,Over,-125
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betmgm,BetMGM,totals_1st_5_innings,5.0,Under,-105
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betmgm,BetMGM,totals_1st_1_innings,0.5,Over,-125
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betmgm,BetMGM,totals_1st_1_innings,0.5,Under,-102
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,bovada,Bovada,totals_1st_5_innings,5.0,Over,-120
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,bovada,Bovada,totals_1st_5_innings,5.0,Under,-110
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betus,BetUS,totals_1st_5_innings,5.0,Over,-115
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betus,BetUS,totals_1st_5_innings,5.0,Under,-115
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betrivers,BetRivers,totals_1st_1_innings,1.5,Over,175
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,SD,CIN,betrivers,BetRivers,totals_1st_1_innings,1.5,Under,-240
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,fanduel,FanDuel,totals_1st_1_innings,0.5,Over,102
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,fanduel,FanDuel,totals_1st_1_innings,0.5,Under,-130
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,fanduel,FanDuel,totals_1st_5_innings,4.5,Over,-102
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,fanduel,FanDuel,totals_1st_5_innings,4.5,Under,-128
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Over,103
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,betonlineag,BetOnline.ag,totals_1st_1_innings,0.5,Under,-137
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Over,105
2026-09-01T19:43:08Z,2026-09-01T22:41:00Z,TOR,CLE,betonlineag,BetOnline.ag,totals_1st_5_innings,4.5,Under,-125
