rank,away,home,lambda,pick_side,pick_strength,pick_label,nrfi_pct,yrfi_pct
1,LAA,CIN,1.2045,PASS,NO EDGE,PASS,51.7,48.3
2,ARI,PHI,1.1835,PASS,NO EDGE,PASS,48.9,51.1
3,COL,SD,1.0917,PASS,NO EDGE,PASS,49.0,51.0
4,OAK,NYM,1.0803,NRFI,STRONG,STRONG NRFI,63.3,36.7
5,WSH,MIL,1.0371,NRFI,LEAN,LEAN NRFI,57.3,42.7
6,HOU,SEA,1.0151,NRFI,STRONG,STRONG NRFI,62.7,37.3
7,TEX,LAD,0.9566,PASS,NO EDGE,PASS,49.4,50.6
8,SF,BAL,0.9341,PASS,NO EDGE,PASS,49.7,50.3
9,MIN,TOR,0.9291,NRFI,LEAN,LEAN NRFI,53.7,46.3
10,CWS,KC,0.9022,PASS,NO EDGE,PASS,51.0,49.0
11,PIT,CHC,0.8580,NRFI,LEAN,LEAN NRFI,58.1,41.9
12,BOS,STL,0.8564,NRFI,LEAN,LEAN NRFI,57.7,42.3
13,CLE,ATL,0.8375,YRFI,LEAN,LEAN YRFI,45.7,54.3
14,MIA,DET,0.7650,PASS,NO EDGE,PASS,52.7,47.3
15,NYY,TB,0.7272,YRFI,LEAN,LEAN YRFI,44.3,55.7
